SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10101-01,"Catania, 1 Light LED Pendant, Chrome",5,BC,C00444,Robinson - Granville,MR - Luminescence,CAD,2025-10-31,1.0,182.0,191.1
10101-01,"Catania, 1 Light LED Pendant, Chrome",5,BC,C00444,Robinson - Granville,MR - Luminescence,CAD,2025-10-31,4.0,884.0,928.2
10101-07,"Catania, 1 Light LED Pendant, Plated Brushed Gold",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-08,3.0,930.0,976.5
10102-01,"Catania, 8 Light Round LED Chandelier, Chrome",1,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-09-19,1.0,2026.0,2127.3
10104-01,"Catania, 18 Light Round LED Chandelier, Chrome",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-08-12,1.0,4462.0,4685.1
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",2,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-08-12,1.0,1078.0,1131.9
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",2,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-04-17,1.0,1078.0,1131.9
10108-02,"Terlizzi, Square LED Chandelier, Matte Black",1,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-24,1.0,638.0,669.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",5,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-08-22,1.0,418.0,438.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",5,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-05-23,4.0,1672.0,1755.6
10113-03,"Belluno, 48 Light LED Grand Chandelier, Champagne Gold",1,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-01-17,1.0,5484.6,5758.83
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,AB,C00474,Vivid Concepts Inc. - Edmonton,MR - Luminescence,CAD,2025-08-29,1.0,1272.0,1335.6
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-02-18,1.0,1113.0,1168.65
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,BC,C00111,Mclaren Lighting - Nanaimo,MR - Luminescence,CAD,2025-05-23,1.0,1590.0,1669.5
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-10-24,1.0,1590.0,1669.5
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-10-03,1.0,1590.0,1669.5
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-06-27,1.0,1590.0,1669.5
10114-03,"Belluno, 15 Light LED Chandelier, Champagne gold",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-04-15,1.0,1590.0,1669.5
10114-042,"Belluno, 15 Light LED Chandelier, Brushed Vintage Grey",1,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-04-25,1.0,1590.0,1669.5
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2025-03-13,1.0,1904.0,1999.2
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-01-31,1.0,2541.0,2668.05
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-01-17,1.0,2541.0,2668.05
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-01-17,1.0,2541.0,2668.05
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-21,1.0,2040.0,2142.0
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-10,1.0,2720.0,2856.0
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-02-24,2.0,5082.0,5336.1
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00095,McLaren Lighting - Victoria,MR - Luminescence,CAD,2025-04-25,1.0,1569.1,1647.56
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00095,McLaren Lighting - Victoria,MR - Luminescence,CAD,2025-02-10,1.0,2541.0,2668.05
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-02-14,1.0,1778.7,1867.63
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-01-17,1.0,2286.9,2401.25
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-01-17,1.0,2541.0,2668.05
10115-03,"Belluno, 26 Light Oval LED Chandelier, Champagne Gold",14,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-07,1.0,2720.0,2856.0
10115-042,"Belluno, 26 Light Oval LED Chandelier, Brushed Vintage Grey",1,BC,C00426,Robinson Lighting -Kelowna,MR - Luminescence,CAD,2025-03-21,1.0,1904.0,1999.2
10116-03,"Belluno, 37 Light Oval LED Chandelier, Champagne Gold",1,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-09-19,1.0,2769.2,2907.66
10116-042,"Belluno, 37 Light Oval LED Chandelier, Brushed Vintage Grey",2,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-08-15,1.0,3956.0,4153.8
10116-042,"Belluno, 37 Light Oval LED Chandelier, Brushed Vintage Grey",2,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-02-18,1.0,2571.4,2699.97
10117-04,"Portofino, 1 Light LED Pendant, Satin Gold",1,MB,C00267,Robinson Lighting ,MR - Luminescence,CAD,2025-05-02,1.0,151.9,159.5
10117-04-5K,"Portofino, 1 Light LED Pendant, Satin Gold, 5000K",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-01-08,3.0,750.0,787.5
10120-04-5K,"Portofino, 7 Light Oval LED Chandelier, Satin Gold, 5000K",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-01-08,1.0,1820.0,1911.0
10121-01,"Vinci, 3 Light LED Wall Mount, Chrome",7,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-03-14,1.0,261.0,274.05
10121-01,"Vinci, 3 Light LED Wall Mount, Chrome",7,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-07-09,6.0,1566.0,1644.3
10121-05,"Vinci, 3 Light LED Wall Mount, Soft Brass",4,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-02-18,1.0,191.8,201.39
10121-05,"Vinci, 3 Light LED Wall Mount, Soft Brass",4,BC,C00125,Ocean Pacific Lighting Inc.-Showroom,MR - Luminescence,CAD,2025-03-18,3.0,822.0,863.1
10121-06,"Vinci, 3 Light LED Wall Mount, Metallic Black",1,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-03-21,1.0,255.0,267.75
10123-01,"Vinci, 1 Light LED Wall Mount, Chrome",2,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-06-24,2.0,232.0,243.6
10123-05,"Vinci, 1 Light LED Wall Mount, Soft Brass",5,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-10-17,1.0,120.0,126.0
10123-05,"Vinci, 1 Light LED Wall Mount, Soft Brass",5,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-04-02,2.0,240.0,252.0
