SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10101-01,"Catania, 1 Light LED Pendant, Chrome",7,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2023-05-19,1,184,193.2
10101-01,"Catania, 1 Light LED Pendant, Chrome",7,BC,C00444,Robinson - Granville,MR - Luminescence,CAD,2025-10-31,1,182,191.1
10101-01,"Catania, 1 Light LED Pendant, Chrome",7,BC,C00444,Robinson - Granville,MR - Luminescence,CAD,2025-10-31,4,884,928.2
10101-01,"Catania, 1 Light LED Pendant, Chrome",7,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2024-09-13,1,278.3,292.22
10101-07,"Catania, 1 Light LED Pendant, Plated Brushed Gold",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-08,3,930,976.5
10102-01,"Catania, 8 Light Round LED Chandelier, Chrome",1,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-09-19,1,2026,2127.3
10104-01,"Catania, 18 Light Round LED Chandelier, Chrome",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-08-12,1,4462,4685.1
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2024-10-11,1,754.6,792.33
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2024-08-26,1,1078,1131.9
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-08-12,1,1078,1131.9
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2023-09-14,1,1433,1504.65
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2023-05-19,1,1146.4,1203.72
10106-02,"Terlizzi, Large Linear LED Chandelier, Matte Black",6,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-04-17,1,1078,1131.9
10107-02,"Terlizzi, Medium Linear LED Chandelier, Matte Black",2,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-11-14,1,880,924
10107-02,"Terlizzi, Medium Linear LED Chandelier, Matte Black",2,BC,C00149,Robinson - Vancouver,MR - Luminescence,CAD,2024-07-26,1,880,924
10108-02,"Terlizzi, Square LED Chandelier, Matte Black",3,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2024-10-11,1,446.6,468.93
10108-02,"Terlizzi, Square LED Chandelier, Matte Black",3,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-24,1,638,669.9
10108-02,"Terlizzi, Square LED Chandelier, Matte Black",3,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2024-07-31,1,638,669.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",8,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-08-22,1,418,438.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",8,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-05-23,4,1672,1755.6
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",8,BC,C00149,Robinson - Vancouver,MR - Luminescence,CAD,2024-09-13,1,418,438.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",8,BC,C00149,Robinson - Vancouver,MR - Luminescence,CAD,2024-05-31,1,418,438.9
10109-02,"Terlizzi, Square LED Ceiling Mount, Matte Black",8,MB,C00267,Robinson Lighting ,MR - Luminescence,CAD,2024-03-28,1,292.6,307.23
10110-02,"Terlizzi, Small LED Wall Mount, Matte Black",3,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2023-07-25,1,307.45,322.82
10110-02,"Terlizzi, Small LED Wall Mount, Matte Black",3,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2023-07-25,2,709.5,744.97
10111-02,"Terlizzi, Medium LED Wall Mount, Matte Black",6,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2024-08-08,3,1551,1628.55
10111-02,"Terlizzi, Medium LED Wall Mount, Matte Black",6,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2024-07-31,1,517,542.85
10111-02,"Terlizzi, Medium LED Wall Mount, Matte Black",6,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2023-10-31,2,1376,1444.8
10112-02,"Terlizzi, Large LED Wall Mount , Matte Black",2,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2024-10-11,1,485.1,509.36
